NAME;E;N;Z
Länta-Hütte SAC;2722964;1155733;2092
Mittler Hütta;2744666;1169637;2093
Ospizio San Gottardo;2686599;1156633;2093
Berghaus Standhütte;2604340;1143613;2094
Restaurant Chez Vrony;2625473;1095630;2096
Chamannin Suot;2793228;1165884;2097
Tegia Muragl;2788867;1154663;2099
Cascine di Pièi;2690235;1137222;2101
Cabane de Susanfe CAS;2558230;1109917;2102
Capanna Quarnei;2721729;1148094;2103
Acla Albanas;2792220;1165121;2103
Segneshütte;2737319;1192307;2104
Cabane Brunet;2587265;1097667;2104
Alpbeizli Laret;2784296;1153702;2104
Salbithütte SAC;2685170;1170077;2105
Hotel Tiefenbach;2678408;1160683;2105
Hotel Restaurant Aletschhorn;2641169;1135684;2105
Acla Naira;2792383;1165257;2106
Restaurant Grindelwaldblick;2640006;1159922;2107
Bortelhütte;2650452;1127149;2107
Pfälzerhütte LAV;2765154;1215656;2107
Chalet d'Arpalle;2580946;1096737;2108
Capanna Piano delle Creste;2680633;1138281;2109
Schaffanshüttli;2738449;1208475;2109
Restaurant Heimischgartu;2638577;1112222;2111
Chammhüttli;2738515;1206993;2111
Fridolinshütte SAC;2715329;1186685;2112
Restaurant Chetzeron;2602179;1130578;2113
Galmihornhütte;2661751;1148977;2113
Chalet des Grands;2566395;1096913;2115
Cassina da Vignun;2735493;1149694;2115
Pension Edelweiss;2764540;1145977;2117
Bergrestaurant Chämi-Hitta;2623900;1094287;2117
Capanna di Sciora CAS;2767326;1131324;2117
Acla Buera;2792109;1165104;2120
Berghaus Lauchern;2625625;1140459;2122
Acla Buera;2792106;1165113;2123
Rifugio Lago;2721712;1134826;2123
Voralphütte SAC;2680247;1171573;2126
Camona da Nagens;2736880;1191657;2126
Berggasthaus Rotsteinpass;2745844;1234250;2127
Restaurant Fleschboden;2647690;1128801;2127
Berghüttli;2747496;1193359;2127
Bristenhüttli;2695575;1178493;2130
Cabane Illhorn;2612213;1122750;2131
Alpbeizli Arpiglia;2795234;1162812;2131
Restaurant de Bendolla;2609214;1114304;2131
Cabane de la Videmanette;2581967;1145308;2132
Restaurant Adler Hitta;2625122;1095746;2133
Carmennahütte;2768122;1183161;2134
Hotel Belalp;2642517;1136738;2134
Sulzhütte;2783238;1208887;2134
Alp Astras Tamangur;2822840;1172305;2135
Rinderhitta;2638978;1159032;2138
Panoramarestaurant Stockhorn;2607631;1171372;2139
Tsalet d'Eison;2603376;1111484;2139
Capanna Campo Tencia CAS;2699431;1144475;2140
Cabane du Petit Mountet;2615054;1104546;2141
Panoramarestaurant Stockhorn;2607610;1171372;2143
Bergrestaurant Chüestall;2646599;1137648;2145
Fergenhütte SAC;2792566;1193972;2145
Hotel Sparrhorn;2641545;1136285;2147
Bergrestaurant La Motta;2816217;1188315;2147
Schutzhütte;2591854;1143666;2148
Hotel Süsom Givè;2818463;1169336;2149
Sewenhütte SAC;2682710;1177840;2149
Alpage de Loveignoz;2602110;1113921;2152
Casa Alpina Belvedere;2799643;1139248;2152
Rüggenhütte;2787526;1190637;2154
Restaurant de la Videmanette;2582039;1145426;2155
Restaurant Hahnensee;2783518;1149147;2155
Sardonahütte SAC;2739906;1197681;2156
Chamanna dal Bescher;2805368;1184889;2156
Cascina di Giacobi;2685047;1158595;2157
Berghotel Bonistock;2665069;1181066;2161
Berghotel Bonistock;2665069;1181066;2161
Hotel Grimsel Passhöhe;2669006;1157131;2163
Hotel Grimselblick;2669481;1157143;2164
Alpage de Mase;2602951;1115986;2164
Niwi Hitta;2654841;1131956;2165
Hotel Alpenrösli Grimselpass;2668901;1157083;2166
Widderfeldhitta;2647042;1168055;2166
Refuge des Petoudes;2566894;1096593;2168
Muotatalhüttli;2739896;1200952;2168
Plasseggahütta;2785535;1207114;2168
Berggasthaus First;2647069;1167774;2170
Camona da Terri CAS;2719941;1166006;2170
Lohnerhütte SAC;2612368;1147039;2171
Bättmer-Hitta;2649558;1139110;2171
Capanna Barone;2700768;1139107;2171
Europaweg-Hütte Täschalp;2628751;1100913;2173
Rifugio Scaradra;2720182;1157252;2173
Capanna Motterascio (Michela) CAS;2720063;1161431;2174
Paradiso Mountain Club & Restaurant;2781884;1151438;2177
Buvette de la Croix de Coeur;2584096;1107825;2177
Restaurant Tignousa;2613236;1119711;2178
Alp d'Err;2772782;1160276;2179
Restaurant Paradies;2625838;1095778;2179
