NAME;E;N;Z
Lagginhorn;2643603;1111888;4010
Weissmies;2644312;1108626;4014
L'Epaule du Rothorn;2619248;1102012;4017
La Spedla;2789899;1139600;4019
Hinteres Fiescherhorn;2648246;1155198;4025
Allalinhorn;2635294;1099497;4028
Dirruhorn;2631657;1107657;4035
Lauteraarhorn;2652865;1159343;4042
Grosses Grünhorn;2649030;1153610;4044
Piz Bernina;2789946;1139765;4049
Grosses Fiescherhorn;2647766;1155750;4050
Ober Gabelhorn;2617753;1098579;4064
Roccia Nera;2626096;1086843;4070
Schreckhorn;2652075;1160072;4078
Wengen-Jungfrau;2640244;1154390;4085
Felikhorn;2628347;1085066;4087
Pollux;2626891;1086301;4090
Gendarm;2625728;1087192;4107
Mönch;2642837;1156510;4110
Combin de la Tsessette;2590107;1087933;4133
Breithornzwillinge;2625474;1087376;4139
Bishorn;2621361;1107417;4151
Jungfrau;2640192;1154077;4159
Breithorn;2623972;1087761;4161
Dent d'Hérens;2612896;1090945;4174
Combin du Valsorey;2588490;1087388;4184
Strahlhorn;2635888;1095846;4190
Aletschhorn;2642627;1146132;4194
Rimpfischhorn;2634483;1096939;4199
Alphubel;2632903;1101349;4206
Hobärghorn;2632099;1106870;4219
Zinalrothorn;2619460;1101509;4222
Castor;2627509;1085533;4224
Pic Tyndall;2616671;1091436;4240
Stecknadelhorn;2632536;1106753;4241
Aiguille du Croissant;2589336;1087689;4260
Finsteraarhorn;2652735;1154237;4275
Lenzspitze;2633246;1105983;4294
Combin de Grafeneire;2589184;1087342;4310
Nadelhorn;2632893;1106465;4327
Ludwigshöhe;2632965;1085103;4341
Dent Blanche;2613415;1098086;4358
Parrotspitze;2633541;1085442;4435
Matterhorn;2617049;1091673;4478
Liskamm Westgipfel;2629841;1086174;4479
Täschhorn;2632376;1103631;4491
Weisshorn;2621453;1105565;4506
Liskamm Ostgipfel;2630796;1085731;4533
Dom;2632498;1104810;4547
Signalkuppe;2634011;1086272;4554
Zumsteinspitze;2633566;1086821;4563
Nordend;2633449;1087915;4609
Grenzgipfel;2633336;1087328;4618
Dunantspitze;2633284;1087345;4632
Dufourspitze;2633206;1087350;4634
