Kanton;Gemeindename;E;N
BE;Perrefitte;2591159.321;1236403.99
JU;Ederswiler;2591219.037;1252850.723
BE;Romont (BE);2591566.365;1226797.351
BE;Pieterlen;2591602.684;1224980.395
BE;Scheuren;2591742.384;1220053.505
JU;Movelier;2591872.309;1251087.754
BE;Frauenkappelen;2591896.43;1200367.203
JU;Mettembert;2591954.831;1249098.974
BE;Büetigen;2592071.771;1217240.293
BE;Bäriswil;2592102.472;1204585.097
VS;Veysonnaz;2592252.144;1115417.95
VS;Nendaz;2592252.144;1115417.95
BE;Lauenen;2592580.551;1138019.622
BE;Meienried;2592596.093;1220679.465
JU;Rossemaison;2592804.57;1243667.363
BE;Schwarzenburg;2592878.575;1182755.775
LU;Schwarzenberg;2592878.575;1182755.775
JU;Châtillon (JU);2592886.247;1241235.33
BE;Dotzigen;2593195.103;1219773.748
BE;Wohlen bei Bern;2593450.126;1202687.228
BE;Meinisberg;2593563.458;1223431.968
JU;Delémont;2594168.509;1244550.026
BE;Court;2594267.224;1231799.773
BE;Diessbach bei Büren;2594408.425;1217343.987
VS;Sion;2594412.868;1122031.806
BE;Lengnau (BE);2594420.684;1225746.866
BE;Grossaffoltern;2594518.094;1213067.209
BE;Büren an der Aare;2594749.795;1220389.977
BE;Moutier;2594880.207;1236220.142
BE;Meikirch;2594954.938;1206470.035
BE;Schüpfen;2595347.827;1209383.727
JU;Courrendlin;2595509.707;1242444.221
BL;Roggenburg;2595556.58;1252317.135
JU;Courroux;2595664.891;1246152.302
VS;Grimisuat;2595727.271;1122970.78
BE;Roches (BE);2595926.382;1239199.906
SO;Grenchen;2596021.521;1228020.124
BE;Zweisimmen;2596047.122;1160368.109
JU;Soyhières;2596360.866;1248371.391
SO;Schnottwil;2596381.637;1217256.257
VS;Hérémence;2596510.782;1108654.451
BE;St. Stephan;2596534.587;1148901.992
BE;Wengi;2596642;1241237
VS;Arbaz;2596684.329;1126233.611
VS;Vex;2596791.77;1117234.863
BE;Belprahon;2597483.341;1237699.279
BE;Oberbalm;2597861.925;1190422.29
BE;Eschert;2597994.975;1235031.35
BE;Rüti bei Büren;2598049.834;1222334.431
BE;Rapperswil (BE);2598079.647;1212830.385
BE;Oberwil bei Büren;2598090.548;1220135.872
VS;Saint-Léonard;2598179.092;1123463.491
VS;Ayent;2598179.092;1123463.491
BE;Kirchlindach;2598207.048;1205417.496
SO;Kleinlützel;2598481.685;1253092.479
SO;Bettlach;2598558.662;1228686.764
BE;Boltigen;2598638.591;1165040.981
BE;Lenk;2598665.902;1148080.96
BE;Oberwil im Simmental;2598667.313;1168491.617
SO;Biezwil;2598680.295;1217723.408
JU;Val Terbi;2599052.593;1244373.715
BE;Münchenbuchsee;2599074.466;1208968.333
BE;Grandval;2599230.105;1236902.158
BE;Arch;2599543.352;1224282.843
BE;Köniz;2599689.74;1195748.012
SO;Messen;2599754.244;1216077.438
BE;Bremgarten bei Bern;2599803.919;1202895.428
BE;Rüeggisberg;2599963.059;1185898.295
VS;Mont-Noble;2599985.562;1117723.818
BL;Burg im Leimental;2600059.149;1255760.893
BL;Liesberg;2600375.582;1250030.078
VS;Saint-Martin (VS);2600384.161;1113210.889
SO;Rodersdorf;2600456.007;1259293.578
SO;Selzach;2600639.113;1229653.835
VS;Lens;2600656.768;1126387.203
BE;Bern;2601017.917;1203268.994
JU;Courchapoix;2601052.702;1244506.84
BE;Deisswil bei Münchenbuchsee;2601096.749;1209737.277
BE;Zollikofen;2601116.76;1205068.372
BE;Crémines;2601221.513;1235805.119
VS;Icogne;2601371.434;1132703.394
BE;Niedermuhlern;2601413.94;1189859.627
BL;Röschenz;2601723.315;1253467.713
BE;Wald (BE);2601873.84;1192065.705
BE;Riggisberg;2602069.661;1183969.836
SO;Bärschwil;2602118.865;1248359.217
BE;Leuzigen;2602310.836;1224455.025
BE;Wiggiswil;2602323.537;1208850.3
SO;Lommiswil;2602362.575;1230894.869
BE;Zuzwil (BE);2602370.856;1210956.757
BE;Corcelles (BE);2602542.267;1237713.381
BE;Ittigen;2602547.344;1201920.289
BE;Iffwil;2603081.592;1212818.807
BE;Ostermundigen;2603109.371;1201857.715
SO;Unterramsern;2603149.838;1218656.023
BE;Kehrsatz;2603226.293;1194054.47
SO;Buchegg;2603296.368;1221920.456
VS;Grône;2603324.22;1122996.786
SO;Metzerlen-Mariastein;2603465.642;1258409.217
BE;Moosseedorf;2603611.33;1206492.272
BE;Muri bei Bern;2603635.893;1197279.82
VS;Crans-Montana;2603688.516;1135476.387
BL;Dittingen;2603733.441;1254665.483
VS;Evolène;2603820.842;1108060.561
BE;Blumenstein;2604206.034;1175310.778
BE;Kaufdorf;2604296.541;1187617.907
SO;Bellach;2604334.827;1228806.894
BE;Wattenwil;2604355.422;1180921.735
SO;Oberdorf (SO);2604419.976;1231301.991
BE;Burgistein;2604819.201;1182175.622
BE;Toffen;2604995.976;1190211.231
BL;Schönenbuch;2605142.878;1264981.991
BE;Jegenstorf;2605197.477;1211218.008
BE;Belp;2605231.836;1193589.545
SO;Grindel;2605292.263;1247709.453
BE;Bolligen;2605303.208;1203675.097
BE;Därstetten;2605381.312;1168313.985
BL;Biel-Benken;2605435.419;1261307.007
SO;Bättwil;2605450.898;1260002.871
BL;Wahlen;2605554.732;1249827.957
SO;Langendorf;2605720.186;1230076.932
BE;Urtenen-Schönbühl;2605720.963;1207557.649
JU;Mervelier;2605772.581;1243060.208
VS;Chalais;2605975.46;1123623.335
BE;Worb;2606006.937;1199020.623
NE;La Sagne;2606072.831;1105142.157
BE;Mattstetten;2606247.482;1208817.731
BL;Blauen;2606299.123;1255735.003
BE;Seehof;2606450.216;1239363.926
BE;Erlenbach im Simmental;2606500.058;1167303.031
BE;Pohlern;2606501.907;1174075.481
BE;Allmendingen;2606511;1195899
SO;Witterswil;2606555.333;1259685.934
BE;Forst-Längenbühl;2606566.701;1179289.057
SO;Rüttenen;2606583.252;1230761.64
SO;Lohn-Ammannsegg;2606589.849;1223176.255
BL;Laufen;2606702.23;1251490.493
BE;Bätterkinden;2606797.96;1219761.796
BE;Stettlen;2606884.624;1201279.434
BL;Zwingen;2606908.905;1253896.361
BE;Fraubrunnen;2606974.294;1215217.402
BL;Allschwil;2607205.252;1265668.67
SO;Solothurn;2607322.868;1227301.959
BE;Gurzelen;2607380.819;1180067.823
BE;Krauchthal;2607390.576;1205064.144
BE;Seftigen;2607691.788;1182197.293
VS;Chippis;2607767.528;1124772.405
BE;Rubigen;2607774.84;1193735.093
BE;Gerzensee;2607804.455;1190447.655
BE;Kirchdorf (BE);2607890.204;1185187.593
SO;Balm bei Günsberg;2607950.783;1234084.384
SO;Erschwil;2607957.568;1246627.976
BL;Oberwil (BL);2608037.147;1263158.051
SO;Biberist;2608039.47;1225618.079
BE;Hindelbank;2608089.185;1210324.514
BL;Ettingen;2608131.167;1258381.779
BE;Uebeschi;2608146.316;1177697.544
SO;Büsserach;2608309.229;1248791.467
BE;Aefligen;2608357.516;1216038.823
BL;Brislach;2608388.201;1253106.912
SO;Breitenbach;2608441.387;1250412.288
SO;Feldbrunnen-St. Niklaus;2608509.312;1230418.745
BE;Kernenried;2608548.302;1213087.193
BE;Schelten;2608790.014;1242746.771
BL;Therwil;2608885.786;1260639.865
BE;Wiler bei Utzenstorf;2609054.094;1222368.875
BE;Adelboden;2609181.961;1146523.28
BE;Diemtigen;2609220.358;1166294.935
BE;Münsingen;2609251.588;1191702.179
BL;Nenzlingen;2609288.358;1255370.404
VS;Sierre;2609296.729;1126418.744
SO;Zuchwil;2609379.915;1227302.197
VS;Anniviers;2609439.635;1124112.053
BE;Utzenstorf;2609503.17;1218792.045
SO;Meltingen;2609684.097;1247976.424
BE;Jaberg;2609716.424;1185364.973
BL;Binningen;2609718.294;1265115.916
SO;Gerlafingen;2609931.405;1224359.377
SO;Riedholz;2609962.665;1231035.102
SO;Günsberg;2610078.367;1234663.083
BE;Uttigen;2610111.243;1182849.748
BE;Thierachern;2610117.415;1177646.185
BE;Zielebach;2610317.009;1222996.894
SO;Herbetswil;2610329.994;1237668.476
BL;Bottmingen;2610458.616;1263380.458
BE;Rüdtligen-Alchenflüh;2610482;1241896
SO;Fehren;2610578.866;1250237.696
BE;Uetendorf;2610583.202;1180526.51
BE;Kiesen;2610601.534;1184633.99
BE;Lyssach;2610766.519;1211129.814
BE;Wichtrach;2610772.8;1186234.908
BL;Aesch (BL);2610797.802;1257652.571
BL;Pfeffingen;2610808.903;1256063.882
SO;Obergerlafingen;2610965.146;1223580.849
BL;Grellingen;2610994.391;1254279.884
BE;Rüti bei Lyssach;2611097.863;1211613.538
BS;Basel;2611308.85;1267305.821
SO;Hubersdorf;2611361.039;1232672.413
BE;Amsoldingen;2611362.333;1174769.991
VS;Salgesch;2611366.289;1128290.608
BE;Kirchberg (BE);2611414.424;1215746.62
SO;Derendingen;2611461.493;1226575.073
SO;Kammersrohr;2611624.518;1233952.171
SO;Aedermannsdorf;2611699.529;1240279.951
BE;Ersigen;2611815.966;1216667.731
SO;Kriegstetten;2611828.905;1224952.848
VS;Varen;2611875.915;1130004.836
BL;Reinach (BL);2611906.741;1259229.473
BE;Oppligen;2611964.023;1184896.024
SO;Flumenthal;2612238.717;1231712.319
SO;Luterbach;2612321.333;1230557.427
VS;Inden;2612323.569;1133581.54
SO;Zullwil;2612395.665;1248553.307
BL;Duggingen;2612460.017;1257529.774
SO;Recherswil;2612499.525;1223336.751
SO;Subingen;2612508.3;1226925.717
BE;Häutligen;2612621.152;1189570.544
BE;Heimberg;2612622.384;1182173.177
BE;Reutigen;2612715.374;1171400.003
BE;Herbligen;2612719.816;1186379.743
SO;Oekingen;2612731.83;1225518.882
BE;Farnern;2612768.151;1235434.935
BE;Attiswil;2612819.956;1233291.382
BE;Koppigen;2612940.194;1219250.118
BL;Münchenstein;2613022.025;1262986.263
SO;Halten;2613123.918;1224155.345
SO;Nunningen;2613182.306;1250014.472
SO;Himmelried;2613195.771;1252081.436
SO;Seewen;2613195.771;1252081.436
BE;Willadingen;2613367.458;1221740.387
BE;Brenzikofen;2613548.539;1184822.127
BE;Burgdorf;2613615.899;1211853.149
BE;Walkringen;2613656.063;1199713.222
BE;Konolfingen;2613669.846;1191987.581
SO;Horriwil;2613908.834;1225532.454
SO;Dornach;2614066.341;1258392.508
SO;Deitingen;2614123.523;1229660.321
BL;Arlesheim;2614280.722;1260618.947
SO;Matzendorf;2614381.085;1239212.144
BE;Rumendingen;2614428.965;1217497.137
BE;Freimettigen;2614618.179;1190446.218
BE;Oberburg;2614642.744;1209792.61
BE;Biglen;2614722.13;1198651.661
BE;Höchstetten;2614777.034;1221504.775
SO;Hüniken;2614869.942;1225874.006
BE;Grosshöchstetten;2615002.147;1195175.5
BE;Frutigen;2615157.262;1159267.377
BE;Rumisberg;2615254.695;1235361.182
BE;Thun;2615305.181;1177419.242
BL;Birsfelden;2615349.496;1266934.362
BE;Hasle bei Burgdorf;2615357.252;1206976.765
SO;Hochwald;2615419.661;1256190.855
BE;Alchenstorf;2615528.264;1219118.552
SO;Etziken;2615644.926;1226179.881
BE;Wimmis;2615647.137;1168154.746
BE;Wynigen;2615653.84;1214568.396
VS;Leukerbad;2615707.139;1138752.409
VS;Albinen;2615733.579;1133531.281
BL;Muttenz;2615757.685;1263578.735
SO;Beinwil (SO);2615779.108;1246041.695
BE;Wangen an der Aare;2615816.496;1231212.337
BE;Wiedlisbach;2615816.662;1232959.426
BE;Hellsau;2615979.602;1221357.002
BE;Niederhünigen;2615996.669;1190430.565
BE;Oberdiessbach;2616010.572;1188010.391
BL;Bretzwil;2616088.494;1249409.298
BS;Riehen;2616131.14;1269995.858
BE;Mirchel;2616160.534;1193397.085
SO;Laupersdorf;2616203.983;1239781.595
BE;Steffisburg;2616354.534;1181440.416
BE;Fahrni;2616354.534;1181440.416
SO;Bolken;2616793.346;1226968.361
SO;Gempen;2616804.813;1258907.86
SO;Aeschi (SO);2616932.276;1225116.757
BE;Inkwil;2616986.835;1227908.066
BE;Heimiswil;2617038.896;1211434.785
BL;Lauwil;2617059.272;1247784.099
VS;Guttet-Feschel;2617100.873;1129756.59
BE;Arni (BE);2617126.526;1198146.568
BE;Hilterfingen;2617127.166;1176695.267
BE;Seeberg;2617176.605;1223240.583
BL;Pratteln;2617244.31;1264728.249
BE;Reichenbach im Kandertal;2617298.033;1160590.933
BE;Oberhünigen;2617414.132;1191459.219
BE;Zäziwil;2617420.552;1193858.964
BE;Kandergrund;2617483.196;1157722.331
SO;Büren (SO);2617554.986;1255415.709
BE;Oberbipp;2617806.146;1233557.149
BS;Bettingen;2617815;1269011.678
BE;Spiez;2617821.139;1169980.338
VS;Agarn;2617895.238;1126867.412
BE;Oberhofen am Thunersee;2617985.843;1175621.55
BE;Heiligenschwendi;2618352.821;1177908.206
BE;Rüegsau;2618441.716;1208548.987
BE;Niederönz;2618617.627;1226403.817
BE;Walliswil bei Wangen;2618743.998;1230786.254
BE;Unterlangenegg;2618776.976;1183843.121
BE;Buchholterberg;2618776.976;1183843.121
BE;Landiswil;2618832.235;1200669.795
SO;Nuglar-St. Pantaleon;2619202.907;1257665.595
BE;Linden;2619268.006;1190551.989
BE;Oberthal;2619296.516;1194992.24
BL;Augst;2619394.637;1264593.322
BE;Walliswil bei Niederbipp;2619459.273;1231581.216
BE;Heimenhausen;2619462.679;1229312.558
BL;Ziefen;2619630.663;1252966.472
BL;Reigoldswil;2619668.913;1246733.482
BL;Lupsingen;2619670.85;1255355.985
BE;Aeschi bei Spiez;2619776.076;1166822.481
BL;Titterten;2619930.089;1251155.059
SO;Balsthal;2619931.161;1238572.683
VS;Leuk;2619944.163;1129044.792
BE;Bowil;2620089.317;1192823.204
BE;Berken;2620124.017;1230523.388
BL;Frenkendorf;2620168.68;1261309.815
BE;Bettenhausen;2620548.06;1224822.817
BE;Teuffenthal (BE);2620598.979;1179300.35
BE;Niederbipp;2620688.542;1234128.292
BL;Seltisberg;2620716.306;1256705.892
BE;Herzogenbuchsee;2620810.416;1227164.495
BE;Rüderswil;2620869.346;1204022.285
BE;Röthenbach im Emmental;2620902.024;1190705.273
BE;Vechigen;2620970;1201593
BE;Krattigen;2621040.409;1167633.891
BE;Kandersteg;2621121.002;1146065.301
BE;Affoltern im Emmental;2621162.368;1214558.516
SO;Oensingen;2621169.563;1237746.769
BL;Arboldswil;2621171.366;1251772.232
BL;Liedertswil;2621271.388;1248667.152
BE;Sumiswald;2621300.841;1210243.889
BE;Graben;2621344.905;1229701.992
VS;Oberems;2621355.085;1122799.685
AG;Kaiseraugst;2621502.895;1265086.633
BE;Signau;2621602.103;1194577.118
BE;Bannwil;2621973.166;1231911.13
BE;Lauperswil;2622017.822;1201175.542
VS;Ergisch;2622095.395;1124741.376
VS;Ferden;2622248.685;1138194.742
BL;Füllinsdorf;2622278.698;1262112.624
BE;Thörigen;2622304.064;1224984.957
BL;Bubendorf;2622336.6;1255184.454
BL;Liestal;2622606.433;1257261.164
BL;Waldenburg;2622621.413;1247468.508
BE;Sigriswil;2622645.489;1174330.342
BL;Giebenach;2622648.693;1263732.749
BE;Trachselwald;2622690.416;1207127.518
BE;Wachseldorn;2622794.696;1185341.177
BE;Oberlangenegg;2622816.699;1183102.955
BE;Ochlenberg;2622882.849;1222397.975
VS;Eischoll;2623211.824;1127220.84
BE;Oeschenbach;2623240.448;1217744.589
VS;Turtmann-Unterems;2623430.202;1128279.504
BE;Thunstetten;2623431.812;1227486.636
BL;Niederdorf;2623570.631;1251337.841
BL;Lampenberg;2623725.865;1253016.002
SO;Holderbank (SO);2623848.795;1241723.409
SO;Kestenholz;2623959.094;1236338.136
BL;Langenbruck;2624200.581;1243520.091
SO;Oberbuchsiten;2624290.2;1240243.28
VS;Gampel-Bratsch;2624322.162;1134595.505
BE;Bleienbach;2624386.546;1225835.896
BE;Ursenbach;2624547.098;1219810.673
BL;Lausen;2624702.067;1257667.585
BL;Arisdorf;2624702.97;1261931.289
BE;Schwarzhäusern;2624770.2;1234106.158
BL;Oberdorf (BL);2624791.406;1250675.318
BL;Ramlinsburg;2624802.776;1255460.93
BE;Aarwangen;2624886.179;1231822.835
VS;Steg-Hohtenn;2625002.729;1133704.832
BE;Rütschelen;2625223.523;1224664.457
BL;Hölstein;2625296.996;1251060.539
VS;Kippel;2625432.671;1137741.562
BE;Walterswil (BE);2625479.609;1219234.918
SO;Niederbuchsiten;2625687.014;1237527.524
BL;Hersberg;2625861.086;1260185.328
VS;Unterbäch;2625905.837;1121731.249
BL;Bennwil;2625938.862;1249349.118
AG;Olsberg;2625977.925;1263279.416
BL;Itingen;2626243.255;1257021.991
BE;Dürrenroth;2626290.614;1214408.574
VS;Niedergesteln;2626485.787;1129616.822
BE;Lotzwil;2626769.061;1226471.152
VS;Wiler (Lötschen);2626784.497;1139557.211
BL;Zunzgen;2626788.591;1254808.646
VS;Randa;2626829.779;1104914.68
BL;Diegten;2626977.493;1250007.889
BE;Langenthal;2627003.495;1229684.389
AG;Rheinfelden;2627027.315;1266751.306
BE;Langnau im Emmental;2627084.601;1195625.277
SO;Egerkingen;2627103.264;1241701.898
BE;Leissigen;2627109.617;1167724.645
SO;Wolfwil;2627195.6;1235437.922
BL;Nusshof;2627293.872;1260168.952
SO;Neuendorf;2627369.082;1238477.69
BE;Wyssachen;2627460.425;1212067.359
BE;Madiswil;2627531.424;1223544.933
VS;Embd;2627716.521;1118602.831
BE;Beatenberg;2627718.942;1173205.504
BE;Rohrbachgraben;2627819.011;1217768.156
AG;Magden;2627904.585;1263172.929
BE;Wynau;2627946.136;1233949.647
BE;Eggiwil;2628048.117;1189459.691
BE;Rohrbach;2628274.745;1221287.8
VS;Raron;2628282.157;1127634.497
BE;Horrenbach-Buchen;2628299.358;1180826.122
BL;Tenniken;2628409.211;1253630.973
BE;Därligen;2628449.619;1166798.956
VS;Zermatt;2628464.482;1093276.758
BE;Roggwil (BE);2628581.293;1231591.477
VS;St. Niklaus;2628658.84;1112273.286
SO;Härkingen;2628903.588;1239434.726
SO;Hägendorf;2629133.453;1241626.615
BL;Sissach;2629196.916;1257187.033
VS;Täsch;2629238.948;1099948.679
BE;Trubschachen;2629375.544;1197018.747
BL;Wittinsburg;2629401.962;1252912.869
BE;Thurnen;2629426.951;1255689.441
BL;Thürnen;2629426.951;1255689.441
VS;Bürchen;2629497.134;1124503.263
BE;Saxeten;2629680.587;1163730.763
BE;Busswil bei Melchnau;2629726.29;1226364.551
SO;Fulenbach;2629739.792;1236516.69
BL;Böckten;2629840.15;1257618.427
SO;Gunzgen;2629859.17;1240605.471
BE;Reisiswil;2629879.873;1223251.266
AG;Murgenthal;2629922.546;1235132.911
VS;Visp;2629928.845;1126725.245
BL;Wintersingen;2629947.226;1261925.257
BL;Känerkinden;2630305.162;1251882.502
BE;Auswil;2630340.167;1220619.142
BL;Diepflingen;2630446.725;1254981.525
BL;Eptingen;2630549.031;1247594.449
BL;Buckten;2630772.279;1251391.558
BE;Unterseen;2630781.941;1171640.697
BL;Rümlingen;2630801.512;1252188.536
BL;Maisprach;2630803.334;1263697.313
SO;Hauenstein-Ifenthal;2630823.383;1246855.721
SO;Kappel (SO);2630961.638;1240211.512
BL;Häfelfingen;2631055.972;1252141.375
SO;Boningen;2631258.596;1238995.426
AG;Möhlin;2631306.45;1268532.566
BE;Eriz;2631313.925;1181237.955
VS;Grächen;2631426.951;1116360.028
BE;Huttwil;2631443.461;1215628.176
BL;Rickenbach (BL);2631588.944;1260100.37
SO;Rickenbach (SO);2631595.924;1243377.117
BE;Melchnau;2631635.19;1225260.135
VS;Ausserberg;2631680.526;1130842.7
BL;Gelterkinden;2631774.085;1256120.943
BE;Eriswil;2631942.439;1213235.726
VS;Blatten;2632142.145;1143690.348
BL;Buus;2632357.465;1261801.358
BE;Gondiswil;2632477.378;1221808.569
BL;Läufelfingen;2632540.41;1250735.18
BE;Matten bei Interlaken;2632706.863;1169445.183
BL;Ormalingen;2632753.026;1260262.221
VS;Zeneggen;2632782.663;1124579.157
LU;Escholzmatt-Marbach;2632867.339;1192915.548
AG;Zeiningen;2632943.284;1266073.811
VS;Törbel;2633048.29;1121957.514
LU;Grossdietwil;2633173.362;1224021.653
LU;Altbüron;2633237.318;1225451.576
BL;Rünenberg;2633322.403;1253493.052
AG;Aarburg;2633392.356;1240261.411
VS;Baltschieder;2633520.476;1128257.082
SO;Wangen bei Olten;2633589.277;1242995.084
BE;Interlaken;2633661.222;1170426.703
AG;Rothrist;2633814.651;1238666.368
VS;Lalden;2633818.039;1128226.514
AG;Zuzgen;2633851.372;1264597.902
BL;Hemmiken;2633949.462;1259914.147
BE;Trub;2633961.091;1202211.798
LU;Ufhusen;2634134.234;1219766.608
VS;Stalden (VS);2634249.41;1121572.374
AG;Wallbach;2634330.962;1268867.168
SO;Trimbach;2634347.392;1246653.587
BL;Tecknau;2634391.12;1254799.774
AG;Hellikon;2634452.851;1261328.444
BE;Habkern;2634471.485;1178077.75
VS;Eggerberg;2634537.617;1129810.393
BE;Gsteigwiler;2634556.09;1166655.372
BL;Kilchberg (BL);2634637.869;1253027.741
AG;Vordemwald;2634833.573;1234464.703
BE;Ringgenberg (BE);2634928.991;1173484.91
LU;Pfaffnau;2634993.123;1231040.03
BE;Bönigen;2635180;1170552
SO;Olten;2635191.768;1245250.368
VS;Eisten;2635250.523;1113880.246
LU;Roggliswil;2635258.757;1228179.474
LU;Fischbach;2635311.258;1222545.588
BL;Wenslingen;2635352.254;1252873.034
BL;Zeglingen;2635708.284;1252787.144
BE;Lauterbrunnen;2635816.821;1160932.042
AG;Oftringen;2635837.324;1240315.484
SO;Wisen (SO);2635960.017;1249504.866
BL;Rothenfluh;2636010.975;1257592.429
BE;Wilderswil;2636026.687;1166822.543
AG;Mumpf;2636085.508;1266123.17
VS;Staldenried;2636299.133;1118463.786
AG;Strengelbach;2636415.423;1238883.204
SO;Starrkirch-Wil;2636811.918;1243657.123
VS;Saas-Balen;2636987.941;1113352.406
AG;Brittnau;2637089.024;1234028.666
LU;Luthern;2637156.236;1214197.645
LU;Zell (LU);2637220.587;1223576.181
BE;Niederried bei Interlaken;2637238.286;1175085.561
AG;Wegenstetten;2637330.625;1260748.758
BE;Gündlischwand;2637339.994;1167072.405
VS;Saas-Fee;2637448.464;1108031.001
SO;Lostorf;2637481.724;1248863.004
AG;Obermumpf;2637662.211;1264277.081
BL;Oltingen;2637706.734;1253503.685
BL;Anwil;2637915.748;1255870.497
SO;Winznau;2637987.104;1245536.594
VS;Saas-Grund;2638325.818;1108261.874
AG;Stein (AG);2638490.039;1265677.364
VS;Visperterminen;2638503.587;1122765.018
SO;Dulliken;2638510.763;1244214.942
SO;Walterswil (SO);2638647.649;1242940.978
SO;Obergösgen;2638831.057;1245984.087
BE;Schangnau;2639178.211;1182438.024
AG;Zofingen;2639243.309;1238790.476
LU;Hergiswil bei Willisau;2639306.14;1212413.535
AG;Münchwilen (AG);2639434.669;1265096.803
LU;Altishofen;2639436.202;1228189.707
AG;Schupfart;2639507.04;1262709.826
LU;Schötz;2639599.256;1224361.404
BE;Oberried am Brienzersee;2639687.361;1179046.888
LU;Nebikon;2639853.634;1225940.592
SO;Kienberg;2639862.516;1254807.693
AG;Wittnau;2639919.468;1258630.292
SO;Stüsslingen;2640045.527;1249466.914
LU;Wikon;2640252.379;1235090.128
AG;Erlinsbach (AG);2640395.234;1252538.514
LU;Reiden;2640746.385;1232713.998
LU;Willisau;2640893.414;1215269.26
VS;Saas-Almagell;2640926.186;1101272.631
BE;Lütschental;2640983.156;1165756.71
AG;Sisseln;2641065.612;1266920.308
SO;Niedergösgen;2641115.247;1247252.503
AG;Safenwil;2641402.731;1241301.78
AG;Eiken;2641509.451;1265472.029
BE;Iseltwald;2641649.557;1172335.518
VS;Naters;2641853.054;1131715.634
SO;Gretzenbach;2641917.521;1244301.748
SO;Erlinsbach (SO);2642058.494;1249590.12
LU;Alberswil;2642076.368;1222023.228
LU;Dagmersellen;2642363.674;1229445.642
AG;Wölflinswil;2642370.044;1259013.277
AG;Bottenwil;2642401.387;1237084.571
LU;Egolzwil;2642565.813;1225579.82
AG;Uerkheim;2642709.63;1238516.661
AG;Gipf-Oberfrick;2642803.006;1260033.727
AG;Oberhof;2642969.642;1254742.844
LU;Romoos;2642999.728;1206003.25
VS;Brig-Glis;2643022.054;1129376.217
SO;Schönenwerd;2643141.008;1247145.316
AG;Frick;2643194.357;1262058.722
AG;Oeschgen;2643613.625;1263956.701
AG;Wiliberg;2643727.567;1235204.531
LU;Ettiswil;2643880.357;1221878.133
LU;Schüpfheim;2643913.598;1202607.042
LU;Hasle (LU);2643949.81;1203182.068
AG;Kölliken;2644169.632;1242732.232
VS;Bitsch;2644459.365;1131367.15
AG;Holziken;2644965.261;1241159.977
AG;Staffelbach;2645264.831;1236941.778
BE;Brienz (BE);2645290.662;1172824.224
AG;Reitnau;2645300.392;1233624.022
VS;Riederalp;2645399.411;1136796.415
AG;Oberentfelden;2645405.288;1244979.192
AG;Unterentfelden;2645514.163;1246594.159
AG;Kaisten;2645519.124;1265316.315
LU;Menznau;2645738.562;1211803.293
LU;Wauwil;2645779.526;1226050.408
AG;Küttigen;2645844.03;1252359.111
AG;Herznach-Ueken;2645914.432;1258059.624
AG;Aarau;2646060.838;1248866.143
AG;Laufenburg;2646282.845;1267035.192
LU;Doppleschwand;2646451.554;1206730.826
VS;Ried-Brig;2646605.622;1126532.019
AG;Densbüren;2646645.923;1256263.37
VS;Termen;2646911.404;1131280.169
AG;Schöftland;2646941.087;1239658.664
VS;Fieschertal;2646942.547;1148769.84
BE;Schwanden bei Brienz;2647024.927;1180202.286
LU;Wolhusen;2647115.138;1208819.467
AG;Muhen;2647208.7;1242769.109
BE;Grindelwald;2647335.648;1163372.783
AG;Hirschthal;2647571.362;1240931.325
AG;Moosleerau;2647652.246;1235160.743
LU;Knutwil;2647895.004;1228118.031
LU;Mauensee;2647946.033;1223782.367
AG;Kirchleerau;2648006.697;1236409.114
AG;Buchs (AG);2648090.996;1249336.958
LU;Entlebuch;2648181.509;1204613.219
VS;Simplon;2648303.213;1116928.017
AG;Biberstein;2648607.371;1252275.772
LU;Triengen;2648764.029;1231936.016
AG;Suhr;2648882.688;1247293.169
LU;Grosswangen;2648922.691;1220269.769
VS;Bettmeralp;2649082.523;1141869.826
VS;Bister;2649148.38;1133546.983
AG;Thalheim (AG);2649190.148;1254652.823
BE;Hofstetten bei Brienz;2649301.049;1179587.839
AG;Schlossrued;2649326.776;1237586.566
AG;Zeihen;2649350.352;1257796.893
LU;Sursee;2649481.206;1224702.274
LU;Büron;2649735.583;1229419.721
LU;Buttisholz;2649856.098;1218333.607
LU;Oberkirch;2650331.289;1222636.58
AG;Gränichen;2650396.834;1245041.949
BE;Meiringen;2650405.903;1172920.374
LU;Werthenstein;2650828.012;1210764.031
AG;Teufenthal (AG);2650924.834;1242936.443
BE;Brienzwiler;2651004.758;1178930.92
VS;Grengiols;2651311.807;1136807.862
LU;Schlierbach;2651498.773;1231148.392
AG;Hunzenschwil;2651578.101;1248215.606
LU;Geuensee;2651631.103;1228226.043
GR;Laax;2651685.657;1138037.589
VS;Lax;2651685.657;1138037.589
AG;Schmiedrued;2651698.768;1235212.225
VS;Zwischbergen;2651787.935;1119588.135
AG;Mettauertal;2651806.388;1267517.046
AG;Oberkulm;2651854.419;1238688.918
VS;Fiesch;2651899.48;1141166.039
OW;Giswil;2652029.045;1187475.689
AG;Auenstein;2652093.947;1252202.132
AG;Gansingen;2652187.835;1265582.583
AG;Schinznach;2652332.602;1256253.282
AG;Unterkulm;2652338.717;1241072.472
AG;Rupperswil;2652470.826;1250484
AG;Mönthal;2652502.768;1262977.344
LU;Ruswil;2652622.89;1214834.035
