Kanton;Gemeindename;E;N
VD;Echichens;2527540.101;1153635.274
VD;Morges;2527581.683;1151797.255
VD;Bofflens;2527833.749;1172905.092
VD;Dizy;2527850.129;1165195.878
VD;Cossonay;2528224.637;1163208.142
VD;Sergey;2528338.407;1178265.047
VD;Sainte-Croix;2528467.66;1186887.075
VD;Baulmes;2528599.126;1182232.02
VD;La Sarraz;2528668.649;1166948.887
VD;Romanel-sur-Morges;2528719.561;1156450.906
VD;Aclens;2528740.664;1157918.467
VD;Gollion;2528828.617;1159915.692
VD;Agiez;2528896.449;1174303.651
VD;Montcherand;2529106.531;1176351.778
VD;Rances;2529437.448;1179735.222
VD;Lonay;2529443.444;1153628.322
VD;Bremblens;2529592.902;1155845.363
VD;Arnex-sur-Orbe;2529608.237;1171901.629
VD;Pompaples;2529876.338;1170082.65
VD;Lussery-Villars;2530065.487;1164974.85
VD;Préverenges;2530187.353;1152219.651
VD;Penthalaz;2530510.884;1162919.512
VD;Orny;2530752.897;1169330.916
VD;Echandens;2530844.93;1154841.002
VD;Vufflens-la-Ville;2530896.906;1158606.892
VD;Denges;2530995.326;1152695.37
VD;Eclépens;2531185.864;1167155.368
VD;Penthaz;2531186.492;1161298.778
VD;Valeyres-sous-Rances;2531192.671;1177852.592
VD;Orbe;2531550.42;1174999.98
VD;Bussigny;2531648.941;1156262.36
VD;Bavois;2531978.444;1168497.096
VD;Vuiteboeuf;2532187.524;1184947.386
VD;Ecublens (VD);2532595.64;1153498.509
VD;Mex (VD);2532762.695;1158544.679
VD;Daillens;2532844.944;1163427.459
VD;Villars-Sainte-Croix;2532883.923;1157517.241
VD;Bournens;2533025.028;1162344.417
VD;Bullet;2533043.915;1188998.433
VD;Chavornay;2533103.482;1172997.042
VD;Sullens;2533207.01;1160372.401
VD;Mathod;2533463.758;1179362.956
VD;Oulens-sous-Echallens;2533648.442;1166688.281
VD;Champvent;2533749.529;1183165.297
VD;Bettens;2533781.243;1163947.157
VD;Chavannes-près-Renens;2533948.04;1153650.357
VD;Crissier;2533965.759;1156364.41
VD;Vugelles-La Mothe;2534182.487;1186399.984
VD;Saint-Sulpice (VD);2534258.036;1152326.683
VD;Orges;2534521.901;1184952.728
VD;Boussens;2534597.401;1161652.396
VD;Renens (VD);2534863.381;1154258.261
VD;Mauborget;2534960.134;1191587.882
VD;Suscévaz;2534962.91;1179393.231
VD;Jouxtens-Mézery;2535345.038;1156097.506
VD;Cheseaux-sur-Lausanne;2535410.853;1159377.673
VD;Novalles;2535467.787;1187192.685
VD;Chamblon;2535691.607;1180944.938
VD;Saint-Barthélemy (VD);2535944.331;1165188.209
VD;Prilly;2535977.633;1154306.959
VD;Valeyres-sous-Montagny;2536107.931;1183634.355
VD;Ependes (VD);2536107.959;1177558.772
VD;Suchy;2536187.153;1174752.7
VD;Penthéréaz;2536247.981;1170528.488
NE;La Brévine;2536406.869;1202709.938
VD;Grandevent;2536460.151;1188227.436
VD;Treycovagnes;2536468.737;1180305.072
VD;Romanel-sur-Lausanne;2536570.964;1158065.883
VD;Etagnières;2536575.661;1161412.28
VD;Montagny-près-Yverdon;2536753.972;1182366.702
VD;Giez;2536766.409;1185074.129
VD;Fontaines-sur-Grandson;2537311.541;1187221.044
VD;Belmont-sur-Yverdon;2537794.112;1176611.997
VD;Assens;2537813.569;1163070.919
VD;Morrens (VD);2537847.718;1160371.88
VD;Lausanne;2537956.365;1152398.708
VD;Fiez;2538133.921;1186649.384
VD;Echallens;2538478.57;1165500.088
VD;Le Mont-sur-Lausanne;2538660.873;1156581.561
VD;Grandson;2538998.208;1184823.443
VD;Cugy (VD);2539016.933;1159148.829
VD;Villars-le-Terroir;2539170.77;1167748.553
VD;Yverdon-les-Bains;2539180.581;1180801.624
VD;Essertines-sur-Yverdon;2539198.298;1174326.691
VD;Bretigny-sur-Morrens;2539311.82;1161124.031
VD;Vuarrens;2539420.518;1170765.149
VD;Pully;2539990.437;1151520.455
VD;Valeyres-sous-Ursins;2540037.759;1177383.988
VD;Champagne;2540107.663;1187474.759
VD;Bottens;2540706.08;1162957.521
VD;Epalinges;2540799.256;1156005.813
NE;Le Cerneux-Péquignot;2541107.549;1207604.492
VD;Pomy;2541207.305;1178890.843
VD;Ursins;2541223.166;1176220.561
VD;Paudex;2541258.991;1151071.968
VD;Lutry;2541428.44;1151088.559
VD;Bonvillars;2541511.159;1188231.486
VD;Pailly;2541565.593;1172268.572
VD;Fey;2541972.296;1169459.296
VD;Orzens;2542333.409;1175634.223
VD;Poliez-Pittet;2542569.614;1163993.112
VD;Belmont-sur-Lausanne;2542613.932;1153323.897
VD;Cheseaux-Noréaz;2542674.765;1182315.401
VD;Onnens (VD);2542705.159;1188384.212
VD;Froideville;2542750.876;1160877.719
VD;Cuarny;2542904.076;1180236.151
VD;Rueyres;2542969.517;1172000.548
VD;Oppens;2543112.451;1174157.186
VD;Montilliez;2543159.825;1166056.026
VD;Villars-Epeney;2543412.65;1181535.124
NE;La Chaux-du-Milieu;2543475.342;1207485.746
VD;Cronay;2543626.594;1178470.161
VD;Corcelles-près-Concise;2543645.023;1189134.631
VD;Bercher;2543941.444;1171229.931
VD;Provence;2543946.04;1193990.605
VD;Jorat-Menthue;2544516.197;1166303.84
VD;Bioley-Magnoux;2544665.285;1175399.168
VD;Montanaire;2544884.381;1171890.901
VD;Boulens;2544947.172;1170365.557
VD;Donneloye;2545071.714;1177597.238
NE;Les Ponts-de-Martel;2545231.13;1204494.954
VD;Savigny;2545329.309;1154353.646
NE;Val-de-Travers;2545379.762;1199687.946
VD;Ogens;2545387.997;1173275.193
VD;Concise;2545659.36;1190688.88
VD;Mutrux;2545679.837;1192438.86
VD;Corcelles-le-Jorat;2545728.213;1161085.72
VD;Yvonand;2545972.75;1182253.71
VD;Montpreveyres;2546322.451;1159218.476
VD;Molondin;2547295.365;1179533.066
VD;Ropraz;2547331.87;1162290.681
VD;Bourg-en-Lavaux;2547477.745;1150647.993
NE;Le Locle;2547522.159;1211238.49
VD;Hermenches;2547682.364;1165631.25
VD;Démoret;2548044.989;1177739.469
VD;Forel (Lavaux);2548216.86;1154848.207
VD;Rovray;2548727.198;1182030.52
NE;Brot-Plamboz;2549000.434;1204654.761
VD;Chêne-Pâquier;2549001.19;1179591.028
NE;Les Planchettes;2549139.272;1217590.677
VD;Vucherens;2549143.561;1164265.199
VD;Rossenges;2549179.342;1167271.711
VD;Rivaz;2549211.409;1147274.121
VD;Chexbres;2549322.328;1148295.743
VD;Syens;2549380.008;1165890.669
VD;Servion;2549484.373;1158340.743
VD;Chavannes-le-Chêne;2549719.668;1181206.508
VD;Puidoux;2550053.55;1151422.033
VD;Oron;2550086.186;1156943.534
VD;Champtauroz;2550102.24;1178834.488
VD;Saint-Saphorin (Lavaux);2550378.933;1147786.824
VD;Villars-le-Comte;2551265.004;1173736.563
VD;Vulliens;2551433.75;1166077.534
FR;Prévondavaux;2551440.193;1175802.045
VD;Treytorrens (Payerne);2551510.034;1180645.109
NE;Rochefort;2551720.016;1205032.203
NE;Val-de-Ruz;2551744.225;1207137.466
VD;Bussy-sur-Moudon;2551989.253;1171310.219
VD;Chavannes-sur-Moudon;2552153.961;1167663.203
VD;Chardonne;2552402.642;1147624.078
NE;Boudry;2552727.383;1200535.829
FR;Rue;2552902.03;1163606.644
VD;Moudon;2552925.344;1168938.634
FR;Granges (Veveyse);2552972.87;1152825.628
VD;Corseaux;2553009.902;1146775.2
FR;Châtillon (FR);2553653.197;1186735.464
NE;La Chaux-de-Fonds;2553748.075;1218368.342
FR;Ursy;2553881.276;1165009.336
VD;Lucens;2553960.741;1173213.183
FR;Nuvilly;2554026.755;1181850.319
VS;Saint-Gingolph;2554089.662;1136720.427
NE;Cortaillod;2554228.126;1199828.148
