NAME;E;N;Z
Le Moléson;2567670;1155368;2002
Pizzo Ruscada;2689118;1114643;2004
Wilerhorn;2651213;1180483;2005
Dent de Lys;2566563;1150804;2014
Fürstei;2648099;1194043;2040
Rochers de Naye;2564442;1142378;2042
Sigriswiler Rothorn;2625365;1175559;2052
Piz Mundaun;2731573;1178271;2064
Rophaien;2691985;1198140;2078
Hängst;2639587;1187121;2092
Gros Brun;2585607;1163488;2104
Schopfenspitz;2585607;1163488;2104
Gazzirola;2726292;1108699;2116
Esel;2662203;1203446;2119
Kuegrat;2760890;1226128;2123
Augstmatthorn;2637445;1176902;2137
Kaiseregg;2590853;1166814;2185
Gridone;2693474;1108705;2187
Monte Limidario;2693474;1108705;2187
Ochse;2598470;1171950;2188
Stockhorn;2607546;1171424;2190
Chrüz;2777808;1203074;2196
Furggegütsch;2635370;1181976;2197
Tannhorn;2641700;1180569;2221
Camoghè;2725618;1110568;2228
Morgenberghorn;2627184;1163500;2249
Chäserrugg;2742082;1224343;2261
Madom da Sgióf;2703099;1124941;2265
Druesberg;2706090;1206854;2282
Rautispitz;2720743;1214583;2283
Mutteristock;2714292;1211949;2295
Schilt;2727176;1211722;2299
Hinderrugg;2741548;1224204;2306
Sassauna;2771769;1209250;2308
Al Pizz Cramalína;2691391;1123342;2322
Pizzo Bombögn;2681545;1128684;2331
Tour d'Aï;2566401;1135731;2331
Alvier;2749980;1219528;2342
Brienzer Rothorn;2646446;1181950;2349
Poncione Piancascia;2699774;1128291;2360
Niesen;2616363;1166131;2362
Vilan;2764565;1209106;2376
Gamsberg;2746803;1222284;2385
Vanil Noir;2577727;1153059;2389
Madón;2714026;1121879;2395
Brisen;2677699;1194689;2404
Hoh Brisen;2678257;1194557;2413
Pizzo Erra;2711781;1144027;2417
Les Cornettes de Bise;2549637;1131454;2432
Altmann;2746340;1233872;2435
Gufelstock;2729830;1209629;2436
Ruchen;2729536;1214639;2441
Pizzo di Vogorno;2712171;1121953;2442
Madone di Càmedo;2686620;1131650;2446
Gummfluh;2581274;1143283;2458
Mattjisch Horn;2774246;1191426;2461
Al Pizz Porcarésc;2679075;1121981;2467
Pierre Avoi;2581545;1107421;2474
Hinderi Spillgerte;2600614;1153921;2476
El Ponción dal Vènn;2713189;1125820;2477
Cima di Pinadee;2718045;1152481;2486
Pizzet;2824842;1203485;2497
Grüenhorn;2782521;1192422;2501
Pizzo Bareta;2709237;1151062;2501
Pizzo del Corno;2691112;1149689;2501
Säntis;2744171;1234917;2502
Spitzmeilen;2736657;1209668;2502
Bire;2619934;1151093;2503
Cima di Müsciói;2722970;1133639;2503
Le Tsarve;2565084;1108847;2503
Rot Nossen;2710973;1195674;2503
Dent de Bonavau;2555038;1110179;2504
Eggerhorn;2657305;1137157;2504
Glatten;2708287;1193227;2505
Jakobiger;2689622;1183097;2505
Masnàn;2721072;1133517;2505
Piz Deserto;2731509;1142244;2505
Vers l'Homme;2558032;1104124;2505
El Ponción Söü;2713480;1128602;2506
Hoch Fulen;2696734;1187403;2506
Poncione Rosso;2713480;1128602;2506
Bira;2630277;1159837;2507
Mittagstock;2685877;1173373;2507
Piz de l'Ardion;2733318;1135736;2507
Poncione Pro do Rodùc;2698834;1154248;2507
Erbithore;2608438;1154683;2508
Zinerspitz;2745698;1200840;2508
Hinter Päuggenstöckli;2687508;1183147;2509
Madone di Formazzöö;2680424;1135289;2510
Gulderstock;2734085;1206174;2511
Gwächte;2659547;1164868;2511
Helgenflue;2684212;1178035;2512
Tschudi;2675288;1190047;2512
Zahm Geissberg;2667745;1185235;2512
Büelehora;2786976;1185306;2513
Corn dal Solcun;2803936;1126158;2513
Gitschen;2686631;1192411;2513
Chaiserstock;2698234;1198281;2515
Cima di Sassina;2716528;1161079;2515
Pfriendler;2675104;1177048;2515
Quaderahöreli;2795941;1191595;2515
Vizan Pintg;2748189;1162662;2515
Crap Masegn;2732126;1190259;2516
Sass Castel;2737515;1127054;2516
Sex Percé;2576844;1121785;2516
Pizzo dei Merli;2704213;1143439;2517
Rotspitz;2785947;1206474;2517
Wannagrat;2778606;1185744;2517
