NAME;E;N;Z
Müllheim Dorf;2717441;1273394;411
Bürglen TG;2729012;1268125;440
Sulgen;2731416;1266905;450
Neftenbach;2692373;1264559;417
Wiesendangen;2701520;1264693;471
Pfungen;2690587;1263361;411
Rorschach;2754992;1260318;412
Mörschwil;2749552;1259528;558
Sirnach;2717439;1258109;530
Heiden;2758003;1256559;783
Engelburg;2743874;1256205;696
Au SG;2765785;1255528;403
Nürensdorf;2691294;1255876;504
Turbenthal;2706523;1254884;564
Abtwil SG;2742084;1254138;658
Speicher;2751328;1253005;923
Flawil;2731531;1252791;648
Diepoldsau;2767623;1250740;409
Teufen AR;2747363;1250563;832
Degersheim;2733125;1248772;810
Gais;2752201;1247693;934
Oberriet SG;2760956;1243426;421
Ebnat-Kappel;2727848;1235807;643
Mauren FL;2759310;1231866;453
Eschen;2757784;1231216;458
Schaan;2756994;1226073;449
Weesen;2726768;1222159;432
Sevelen;2755445;1221174;459
Walenstadt;2742125;1220622;426
Balzers;2757103;1215285;475
Vilters;2753083;1210125;497
Trimmis;2761473;1198515;536
Felsberg;2755556;1190340;569
Scuol;2818309;1186696;1200
Samedan;2786704;1156459;1706
Elsau;2701602;1262169;474
Rickenbach b. Wil;2721340;1256817;556
Wilen b. Wil;2720376;1256814;569
Matzingen;2712418;1264278;445
Märstetten;2722449;1272539;420
Hettlingen;2695954;1267142;450
Wängi;2714158;1262111;472
Aadorf;2710409;1261146;526
Kollbrunn;2700553;1257201;490
Münchwilen TG;2717457;1259673;510
Bronschhofen;2720416;1259476;576
Eschlikon TG;2715242;1258148;572
Henggart;2693559;1268753;437
Andelfingen;2694123;1272134;409
Seuzach;2697684;1265826;446
Elgg;2707647;1261308;515
Feuerthalen;2690444;1282902;427
Bottighofen;2733147;1277813;413
Schwanden GL;2724291;1206051;531
Uetikon am See;2694004;1235654;459
Glarus;2723724;1211444;474
Glaris;2723724;1211444;474
Glarona;2723724;1211444;474
Glaruna;2723724;1211444;474
Schattdorf;2692162;1190786;461
Thusis;2752936;1173709;724
Muotathal;2700490;1203469;612
Erstfeld;2692186;1186623;466
Bürglen UR;2693687;1192453;588
Seewen SZ;2690800;1208944;458
Goldau;2684220;1211423;510
Oberarth;2683663;1212208;462
Steinen;2689279;1211828;490
Arth;2682274;1212902;421
Ibach;2691651;1207291;453
Schwyz;2692506;1208378;508
Schwytz;2692506;1208378;508
Svitto;2692506;1208378;508
Sviz;2692506;1208378;508
Rothenthurm;2693926;1217692;926
Brunnen;2688969;1206363;438
Immensee;2677728;1216730;419
Walchwil;2681618;1217278;449
Gersau;2682592;1205295;453
Neuheim;2686398;1228963;662
Obernau;2661870;1209413;547
Rapperswil SG;2704940;1231709;416
Zumikon;2689593;1243234;664
Zollikon;2686015;1243994;481
Netstal;2722762;1213775;462
Näfels;2723355;1217636;437
Mollis;2724308;1217134;449
Niederurnen;2722558;1220675;433
Schindellegi;2696606;1225637;761
Siebnen;2710689;1226083;443
Buttikon SZ;2715000;1225777;426
Schübelbach;2712939;1225786;428
Reichenburg;2716932;1225334;435
Bilten;2720297;1223529;425
Schänis;2722001;1224270;424
Benken SG;2718720;1228181;422
Tuggen;2713235;1227096;418
Galgenen;2708327;1226371;445
Wangen SZ;2710063;1228086;420
Lachen SZ;2707518;1227781;412
Altendorf;2705288;1227466;442
Pfäffikon SZ;2701607;1228479;424
Wilen b. Wollerau;2697853;1228020;513
Freienbach;2699809;1228932;415
Samstagern;2693938;1227803;624
Inwil;2683042;1226245;446
Eschenbach SG;2712423;1233246;483
Schmerikon;2713864;1231672;419
Uznach;2717013;1231690;415
Kaltbrunn;2720193;1230347;441
Wald ZH;2711772;1237070;622
Laupen ZH;2712468;1236130;631
Au ZH;2691462;1233258;452
Uerikon;2699714;1232712;432
Oetwil am See;2697109;1236830;511
Hombrechtikon;2700571;1234360;502
Grüningen;2700133;1237618;487
Egg b. Zürich;2694979;1239408;528
Mönchaltorf;2697046;1240094;444
Gossau ZH;2699823;1240219;467
Grüt (Gossau ZH);2701622;1240662;535
Hinwil;2705712;1240068;563
Lichtensteig;2724666;1242736;640
Bäretswil;2707110;1243679;706
Schwerzenbach;2691884;1248745;447
Nänikon;2694662;1247475;454
Greifensee;2693804;1246974;443
Benglen;2690540;1246185;571
Fällanden;2690568;1247636;443
Bauma;2708895;1247166;664
Bütschwil;2723567;1246819;612
Kirchberg SG;2721003;1252301;743
Bazenheid;2722781;1252580;610
Illnau;2696881;1251736;517
Wangen b. Dübendorf;2690893;1252123;452
Neunkirch;2679555;1282525;431
Ennetbürgen;2673946;1204014;436
Beckenried;2678778;1202213;447
Beringen;2685381;1283841;467
Hallau;2676611;1283236;421
Weggis;2674488;1209963;473
Buochs;2674844;1203058;437
Küssnacht am Rigi;2675853;1214001;473
Tann;2706226;1236210;505
Bubikon;2704378;1236042;525
Dürnten;2706242;1237487;513
Wolfhausen;2702911;1234706;504
Hittnau;2704614;1247416;647
Ebmatingen;2690777;1245318;604
Binz;2689767;1245742;632
Forch;2691868;1242791;642
Maur;2692988;1244019;457
Fehraltorf;2699012;1249583;534
Russikon;2700977;1250329;622
Brüttisellen;2689771;1252853;437
Wollerau;2697149;1227664;520
Bäch SZ;2698186;1228914;409
Oberwil b. Zug;2681212;1222383;427
Birmensdorf ZH;2675602;1245380;468
Oberglatt ZH;2681591;1258876;425
Rafz;2682690;1273986;418
Glattfelden;2679978;1268082;376
Eglisau;2681633;1269714;369
Weiach;2675088;1267955;376
Schachen;2678137;1242015;539
Choëx;2562360;1121149;613
Udligenswil;2673006;1215837;607
Rotkreuz;2675441;1221989;431
Oberägeri;2689098;1221167;739
Hünenberg;2674921;1225519;457
Hagendorn;2675343;1228574;396
Knonau;2677715;1230519;439
Mettmenstetten;2677670;1233310;482
Hausen am Albis;2683004;1232879;620
Obfelden;2674855;1235380;445
Oberrieden;2686134;1236677;468
Gattikon;2683888;1237559;503
Hedingen;2676106;1239256;497
Langnau am Albis;2682950;1237882;532
Herrliberg;2688690;1238632;531
Unterägeri;2686789;1221163;728
Menzingen;2687420;1225807;804
Bonstetten;2677925;1240931;548
Rüschlikon;2684031;1240039;511
Zollikerberg;2687708;1244479;613
Wettswil;2678381;1243593;569
Pfaffhausen;2689330;1246676;607
Uitikon Waldegg;2677140;1247166;594
Gockhausen;2687601;1248426;573
Oberengstringen;2677240;1251416;411
Fahrweid;2673684;1251447;386
Unterengstringen;2676318;1251826;414
Weiningen ZH;2675215;1252656;421
Dietlikon;2688890;1252904;458
Geroldswil;2673399;1252755;402
Niederglatt ZH;2679954;1260689;416
Dällikon;2675290;1254695;443
Opfikon;2685876;1253678;444
Regensdorf;2677789;1254350;445
Adlikon b. Regensdorf;2677574;1256072;451
Buchs ZH;2675437;1256727;432
Rümlang;2682300;1255868;444
Oberhasli;2679995;1257637;437
Niederhasli;2679026;1259124;420
