NAME;E;N;Z
Hinder Zinggestock;2661504;1156034;3040
Piz Gannaretsch;2703245;1163194;3040
Talschien;2660554;1153085;3040
Blattaberg;2721503;1157553;3041
Piz Triazza;2822967;1183993;3041
Piz Zavretta;2782254;1163408;3041
Pizzo Penca;2699875;1142614;3041
Alpliturm;2670269;1164705;3042
Gross Wendestock;2671946;1179371;3042
Piz Clemgia;2816986;1181423;3042
Piz Viluoch;2789466;1168667;3042
Furggeltihorn;2724707;1154952;3043
Piz Magliavachas;2819025;1160429;3043
Bättelmatthorn;2670119;1143760;3044
Bocktehora;2788402;1175830;3044
Piz Murtera;2798668;1183754;3044
Punta dei Camosci;2670119;1143760;3044
Piz Bles;2755969;1140547;3045
Piz Cotschen;2822805;1181287;3045
Piz dals Lejs;2799683;1147388;3045
Bec Termin;2589270;1101329;3046
Cima da Splüga;2773089;1135711;3046
Piz Laschadurella;2810851;1175590;3046
Pointe d'Allèves;2595312;1103629;3047
Grenzeckkopf;2812990;1194367;3048
Lorenzhorn;2729602;1154220;3048
Piz dal Teo;2806754;1138916;3048
Piz Fasch'Alba;2812990;1194367;3048
Piz San Jon Dadora;2820657;1182918;3048
Le Beaufort;2585251;1088262;3049
Piz Minor;2798978;1147682;3049
Piz Saliente;2804151;1162772;3049
Vordere Loner;2612404;1145638;3049
Piz Val Nova;2723843;1159725;3050
Glatt Stock;2682868;1181443;3051
La Pointe des Rayons de la Madeleine;2582692;1081383;3051
Mont de Menouve;2582692;1081383;3051
Piz Cucarnegl;2772252;1155883;3051
Piz Tiatscha;2803167;1189125;3051
Driizänduhoru;2624983;1119007;3052
Grand Muveran;2575895;1120685;3052
Piz Forun;2785691;1169992;3052
Pizzo Rosso;2755742;1138546;3052
Diablon;2608369;1109985;3053
La Torbesse;2592347;1098837;3053
Piz d'Alp Val;2776680;1158784;3053
Piz Piot;2765184;1141316;3053
Usser Wissberg;2759766;1151299;3053
Cima di Fornee;2721404;1153637;3054
Majinghorn;2619286;1137779;3054
Bruschghorn;2743028;1166134;3055
Piz Nair;2780251;1153259;3056
Grand Ruan;2558594;1108230;3057
Mont Ruan;2558594;1108230;3057
Piz Mungiroi;2763640;1140143;3057
Piz Sardona;2738074;1198443;3057
Pointe des Plines;2570298;1092194;3057
Surenstock;2738074;1198443;3057
Vorder Panärahorn;2746999;1195863;3057
Piz Lavirun;2800460;1156193;3058
Pizzo Leverone;2800460;1156193;3058
Tête de Momin;2591755;1101975;3058
Piz Fier;2803717;1164164;3059
Piz Nair;2697156;1172756;3059
Chiehorn;2632498;1140154;3060
Ofentalhorn;2644433;1095766;3060
Piz dals Cotschens;2815904;1178657;3060
Piz Grisch;2756052;1155347;3060
Testa Grisa;2583672;1082288;3060
Giuvstöckli;2695439;1172200;3061
Müeterlishorn;2681463;1164330;3061
Piz Bial;2777679;1159038;3061
Pizzo Gallina;2673193;1149730;3061
Setzehorn;2655464;1147438;3061
Gletscherspitza;2634568;1141512;3062
Kleintitlis;2675327;1180356;3062
Piz Cazarauls;2709777;1185646;3062
Piz Corviglia;2780272;1154924;3062
Piz dal Diavel;2806792;1167038;3062
Piz Viroula;2789255;1166497;3062
Stotzig Muttenhorn;2677101;1154522;3062
Cima dei Cogn;2726840;1143647;3063
Gältehore;2591976;1132781;3063
Hoch Dukan;2784541;1173761;3063
Piz Ducan;2784541;1173761;3063
Vorderi Bütlassa;2629250;1152733;3063
Piz Radönt;2792552;1177677;3065
Piz San Jon d'Immez;2821031;1182592;3065
Piz Urezzas;2807475;1191869;3065
Blauberg;2681142;1164282;3066
Sass Queder;2794810;1143075;3066
Piz Rims;2826227;1180062;3067
Gross Läckihorn;2678685;1154344;3068
Piz Minschun;2813801;1190503;3068
Piz Tantermozza;2803142;1168321;3068
Scalettahora;2791477;1174416;3068
Les Louèrettes;2593575;1107106;3069
Chüebodenhorn;2677854;1151259;3070
Piz Chaschauna;2802344;1161611;3071
Burgihorn;2617056;1115624;3072
Corn Suvretta;2777344;1152987;3072
Le Boudri;2617056;1115624;3072
Pizzo Campo Tencia;2698941;1142858;3072
Bristen;2694977;1176941;3073
Tieregghorn;2632374;1135840;3073
Grüenberghorn;2639201;1095495;3074
Pointe du Bandon;2609218;1105862;3074
